Title,Description,Author,Category,Source,Link,Class_Model1,Class_Model2
Betsy DeVos Expands Dangerous Exemptions for Religious Colleges and Universities,Washington D C Today American Atheists denounced the Department of Education s Title IX regulation changes which expand religious exemptions for schools and weaken protections for victims of sexual harassment Betsy DeVos new policy helps religious schools engage in sex based discrimination trampling students basic rights said Alison Gill Vice President for Legal and Policy at American Atheists Students regardless of whether they re attending a public or private religious school should be able to focus on their education not worry about what laws apply to them and whether their own school will subject them to harassment or discrimination based on their beliefs Prior to this new rule religious institutions had to provide the Department of Education notice of their intention to ignore basic nondiscrimination protections Now they can claim an exemption at any time and without warning Students will be left in the dark about whether their college or university plans to respect their fundamental rights Disturbingly they will only find out after the fact after an incident of discrimination Students must have the right to make decisions about their education and to protect themselves from discrimination said Gill Not only will religious colleges and universities no longer have to come clean about their discriminatory intentions but now they can put out a seemingly nondiscriminatory policy to attract students only to reverse course after discrimination has occurred added Gill The hypocrisy and bad faith of Betsy DeVos and her Religious Right followers is palpable said Nick Fish president of American Atheists For someone who claims to treasure family values she is sure ready to bend over backwards to empower perpetrators of sexual harassment and discrimination In addition to the changes to how colleges and universities may apply religious exemptions these new rules will undermine enforcement of sexual harassment policies and undermine protections for subject those who have experienced sexual harassment Image by Gage Skidmore under CC BY SA 2 0The post Betsy DeVos Expands Dangerous Exemptions for Religious Colleges and Universities appeared first on American Atheists ,American Atheists,Public Policy,American Atheists Magazine,https://www.atheists.org/2020/05/title-ix-religious-exemptions/,4,18
Tell Lawmakers We re Here We re Atheist and We Demand Representation ,American Atheists recently launched Reality Check Being Nonreligious in America a report based on the U S Secular Survey conducted in 2019 This survey of nearly 34 000 nonreligious participants looked at the needs priorities and challenges that atheists and nonreligious people face in our daily lives This was the largest survey ever conducted focusing specifically on nonreligious communities in America American Atheists members helped make this groundbreaking report possible But now we need your help again 8212 we must send this report to lawmakers all across America to show them that we live in their districts and we deserve representation Please take action now Click here to send Reality Check to your state and federal representatives Lawmakers can no longer ignore our community Religiously unaffiliated people make up nearly 25 of the electorate and explicitly nonreligious people comprise a growing share of the population Moreover the report shows that 94 7 of the participants were registered to vote and 86 5 always or nearly always vote which is a significantly higher voting rate than the general population The three most important policy priorities for participants were 1 maintaining secular public schools 2 opposing religious exemptions that allow for discrimination and 3 ensuring access to abortion and contraception Moreover the study shows that there is rampant stigma and discrimination against nonreligious people particularly in very religious communities But it also shows the strength of our communities more than one in five participants were members of local secular groups Please act now Tell your representatives that we live in their districts and that we deserve representation just like every other American Help elevate the voices of atheist agnostic humanist and nonreligious Americans on Twitter using this sample tweet Or even better tell your own story using the hashtags SecularSurvey or RealityCheckReport Even more sample tweets and social media graphics are available here The post Tell Lawmakers We re Here We re Atheist and We Demand Representation appeared first on American Atheists ,American Atheists,Action Alert,American Atheists Magazine,https://www.atheists.org/2020/05/atheists-demand-representation/,4,0
Largest Survey on Nonreligious Americans Reveals Widespread Discrimination and Stigma,Cranford NJ Today the nonreligious identity organization American Atheists released Reality Check Being Nonreligious in America a comprehensive report drawn from the groundbreaking U S Secular Survey Counting nearly 34 000 nonreligious participants and organized by a team of researchers at Strength in Numbers Consulting Group the U S Secular Survey is the largest ever data collection project on secular Americans and their experiences At 75 million people religiously unaffiliated Americans are as large a demographic as either Evangelical Christians or Catholics and explicitly nonreligious people comprise a growing share of the population yet before the U S Secular Survey there had been a lack of focused research on our community said Alison Gill Vice President for Legal and Policy at American Atheists who helped lead the project What we found shocked us Discrimination and stigma against nonreligious Americans is widespread and extremely harmful Due to their nonreligious identity more than half of participants 54 5 had negative experiences with family members nearly one third 29 4 in education and more than one in five 21 7 in the workplace Of those who experienced discrimination within their families there was a 73 3 higher rate of likely depression This report shows that the more religious the community the more likely nonreligious people are to face discrimination and stigma said Gill Nonreligious Americans living in very religious communities concentrated in rural areas and the South are particularly at risk The nearly one third of participants 29 8 living in very religious communities were nearly two and a half times more likely to experience discrimination in education two and a half times more likely in public services voting jury duty poll work more than three times more likely in employent and more than two times more likely when dealing with private businesses compared to those living in not at all religious communities The struggles of nonreligious Americans are far too often overlooked Thankfully the U S Secular Survey has revealed the discrimination our community regularly faces said Nick Fish president of American Atheists With that well established we need to find solutions and work toward ending the stigma faced by our community The report found that involvement with organized secular community groups is an important protective factor that correlated with reduced likelihood of loneliness and depression Members of national secular organizations were 34 8 less likely than non members to be at risk for depression while members of local secular groups were 29 3 less likely Now that we know the power of organized secularism it s up to secular organizations to advocate for change and provide as many nonreligious Americans as possible with the support and community they need added Fish The post Largest Survey on Nonreligious Americans Reveals Widespread Discrimination and Stigma appeared first on American Atheists ,American Atheists,News,American Atheists Magazine,https://www.atheists.org/2020/05/reality-check-being-nonreligious-in-america/,4,0
Congress Authorizes Another Unconstitutional Giveaway for Religious Worship in Latest Coronavirus Stimulus,Washington D C Today the religious equality watchdog organization American Atheists condemned Congress s failure to include necessary constitutional protections in the 484 billion aid bill passed by the House of Representatives As a result the additional 310 billion injected into the Small Business Administration s Paycheck Protection Program can unconstitutionally fund religious worship Congress must include these First Amendment protections in any future stimulus bills particularly after the Small Business Administration weakened its own regulations allowing the original 350 billion in stimulus money to fund religious worship said Alison Gill Vice President for Legal and Policy at American Atheists Longstanding SBA regulations had prevented businesses principally engaged in teaching instructing counselling or indoctrinating religion or religious beliefs whether in a religious or secular setting from receiving business or economic disaster loans However with its guidance on the Paycheck Protection Program from the CARES Act SBA suddenly indicated in early April that it would decline to enforce these subsections If the SBA won t do its job and protect the Constitution Congress must finally step in said Nick Fish President of American Atheists Congress is rushing to replenish Paycheck Protection Program funds after countless businesses were unable to access these loans to preserve jobs What we don t know is how many well heeled mega churches were able to secure government money to pay their pastors salary while small businesses were left out in the cold Thousands and thousands of our supporters have warned Congress that these stimulus bills fail to adequately protect the constitutional separation of religion and government 8221 said Gill Accountability transparency and adherence to the Constitution are critical especially in the face of a crisis The post Congress Authorizes Another Unconstitutional Giveaway for Religious Worship in Latest Coronavirus Stimulus appeared first on American Atheists ,American Atheists,Statements,American Atheists Magazine,https://www.atheists.org/2020/04/small-business-administration-310-billion-churches/,0,18
Trump Administration to Redirect WHO Funding to Evangelist Franklin Graham s Samaritan s Purse Putting Lives at Risk,Washington D C Today the church state separation watchdog organization American Atheists denounced the Trump Administration s alleged plan to steer nearly 400 million in World Health Organization WHO contributions to private organizations including Franklin Graham s Samaritan s Purse According to multiple reports Samaritan 8217 s Purse has exploited emergencies in El Salvador majority Muslim countries and developing nations to seek Christian converts in exchange for aid and has received federal funding to do so In the latest controversy the organization has come under fire for benefiting from the coronavirus pandemic to advance its culture wars agenda in New York City and beyond WHO conducts coronavirus vaccine trials distributes test kits and advises countless governments A divisive Christian organization whose leader claims this pandemic is due to man turn ing his back on God cannot be trusted to replace WHO s critical mission said Alison Gill Vice President for Legal and Policy who wrote a scathing indictment of Samaritan s Purse warning about discrimination against vulnerable groups such as women LGBTQ Americans religious minorities and nonreligious people According to the New York Post Trump officials have grumble d about WHO s liberal policy priorities notably its work on climate change and medically safe abortions During a press conference Trump said the U S has had problems with WHO for years and the nation should have withheld funds a long time ago Let s be clear about Trump s motives said Nick Fish President of American Atheists To improve his reelection chances he s scapegoating WHO and is rewarding his most ardent evangelical supporters like Franklin Graham for literally demonizing opponents This is a dangerous quid pro quo involving hundreds of millions of dollars in government funding and more importantly thousands of American lives If Samaritan s Purse is put even partially in charge of our country s coronavirus response efforts countless Americans will die added Fish Time and time again Samaritan s Purse has prioritized religious dogma and discrimination over medical science and over life itself We can t allow them to get their hands on hundreds of millions of dollars in WHO funding to expand their dangerous influence Image by Matt Johnson under CC by 2 0The post Trump Administration to Redirect WHO Funding to Evangelist Franklin Graham s Samaritan s Purse Putting Lives at Risk appeared first on American Atheists ,American Atheists,Statements,American Atheists Magazine,https://www.atheists.org/2020/04/world-health-organization-franklin-graham-samaritans-purse/,0,18
Tell the Small Business Administration to Stop Taxpayer Funding for Religious Worship ,The CARES Act passed by Congress to provide economic stability during the coronavirus pandemic created a stream of funding for businesses and nonprofits called the Paycheck Protection Program Unfortunately however they did not include important protections for the separation of religion and government Now the Small Business Administration SBA which oversees the program has said that churches are allowed to receive this funding and use it to pay for inherently religious activity such as clergy salary This is our opportunity to tell SBA that they are wrong American taxpayers must not be forced to subsidize religion Please take action now Write to SBA to ask them to put in place basic protections to protect the constitutional separation of religion and government Every dollar that the government provides to a church is one less that is available to businesses or individuals in need Even worse SBA has given churches special exemptions to make them eligible even if they are part of a large wealthy denomination Churches and other places of worship are already exempt from the registration and tax filing requirements that apply to other nonprofits The government should not be giving them money for unconstitutional purposes particularly when there is no accountability or oversight Please stand up for the separation of religion and government We only have until May 15th to make our voices heard by submitting as many comments to SBA as possible The post Tell the Small Business Administration to Stop Taxpayer Funding for Religious Worship appeared first on American Atheists ,American Atheists,Action Alert,American Atheists Magazine,https://www.atheists.org/2020/04/small-business-administration-funding-religious-worship/,0,18
URGENT Tell Congress to Stop Taxpayer Funding for Religious Worship ,The CARES Act passed by Congress to provide economic stability during the coronavirus pandemic created a stream of funding for businesses and nonprofits called the Paycheck Protection Program Unfortunately Congress did not include important protections for the separation of religion and government Now the Small Business Administration SBA which oversees the program has said that churches are allowed to receive this funding and use it to pay for inherently religious activity such as clergy salary American taxpayers must not be forced to subsidize religion Now Congress is considering adding 250 billion more to this program This is the critical moment Please write to Congress now and ask them to correct this oversight when they add more money to the program Every dollar that the government provides to a church is one less that is available to businesses or individuals in need Even worse SBA has given churches special exemptions to make them eligible even if they are part of a large wealthy denomination Churches and other places of worship are already immune from the registration and tax filing requirements that apply to other nonprofits The government should not be giving them money for unconstitutional purposes particularly when there is no accountability or oversight Please tell Congress to Act now Ask them to insert essential protections for the separation of religion and government The post URGENT Tell Congress to Stop Taxpayer Funding for Religious Worship appeared first on American Atheists ,American Atheists,Action Alert,American Atheists Magazine,https://www.atheists.org/2020/04/cares-act-funding-churches/,0,18
Little Sisters Supreme Court Case Could Grant Religious Groups Carte Blanche to Ignore the Law,Washington D C Today American Atheists joined other secular organizations in filing an amicus brief in the Little Sisters of the Poor v Pennsylvania case one of the most important religious exemption cases before the U S Supreme Court this term In the 2016 Supreme Court case Zubik v Burwell religious organizations including Little Sisters of the Poor challenged the religious accommodation that had been carved out of the Affordable Care Act s contraceptive mandate In order to exempt themselves from the obligation to provide health insurance that included no cost contraception coverage religious organizations were required to notify the government that they wished to be exempt by completing a half page form Little Sisters of the Poor among others argued that even this involved them too much in the sin of reproductive health Now Little Sisters of the Poor and its cohorts want a second bite at the apple In its current case against the states of Pennsylvania and New Jersey Little Sisters of the Poor alleges once again that merely providing this notice to the government is a substantial burden on their religious exercise What Little Sisters of the Poor is asking for is an exemption from an exemption one just for religious groups To claim that signing a piece of paper is a burden let alone substantially burdensome is absurd said Geoffrey T Blackwell litigation counsel at American Atheists Little Sisters of the Poor do not have the right to dictate how the government will administer that exemption According to well established precedent a religious person or group must always provide the government with notice in order to avail themselves of a religious exemption Conscientious objectors wishing to forgo combat must file a claim of religious or philosophical objection Religious adherents wanting to drink hallucinogenic tea ceremonially must file for an exemption or may face criminal penalties Parents who choose to remove their children from school on religious grounds must inform school officials or else they could be charged with a misdemeanor Little Sisters of the Poor s claim that filing paperwork somehow involves them in sin and distant complicity makes no sense added Blackwell Even if the Little Sisters of the Poor truly believed this the Court can and should find that mailing in a piece of paper is in no way a substantial burden on anyone s religious expression Were the Supreme Court to rule otherwise the term substantial burden would lose all meaning and the Court would open the floodgates to ever more absurd claims Behind Little Sisters of the Poor s sugarsweet veneer lies the ideologically driven desire to deny every woman in America the right to access contraceptive coverage said Nick Fish president of American Atheists Religious employers have every right to police their own bodies but not those of their employees Religious groups must follow the law To allow them to demand an exemption from an exemption would make our democracy wholly unworkable he added The post Little Sisters Supreme Court Case Could Grant Religious Groups Carte Blanche to Ignore the Law appeared first on American Atheists ,American Atheists,Legal,American Atheists Magazine,https://www.atheists.org/2020/04/little-sisters-supreme-court-case/,0,0
Oppose Religious Exemptions that Help Spread COVID 19,During this crisis many state governors have wisely issued executive orders or guidelines that limit the size of gatherings encourage social distancing and limit nonessential activities to protect public health and prevent the spread of potentially deadly coronavirus Unfortunately numerous states have included religious exemptions for places of worship allowing them to meet and put the public health at risk Please ask your governor to either refrain from creating religious exemptions or rescind them today No one should have the right to risk others lives because of their religious beliefs In Washington DC California and New York hundreds of people were exposed to coronavirus through religious gatherings Additional outbreaks in Kansas Arkansas and North Carolina have shown that churches also put rural communities at risk during this epidemic Ask your governor to ensure the same does not happen in your state There is no constitutional obligation to exempt religious groups from public health and safety regulations particularly when lives are on the line Our government has a compelling interest in protecting public health and it can limit in person gatherings even for churches Please write to your governor today and ask them to ensure that special privileges for churches do not put at risk the health and safety of all residents The post Oppose Religious Exemptions that Help Spread COVID 19 appeared first on American Atheists ,American Atheists,Action Alert,American Atheists Magazine,https://www.atheists.org/2020/04/religious-exemptions-coronavirus/,4,13
Government to Pay Pastor Salaries in 350 Billion Small Business Aid Package,Washington D C Today the religious equality watchdog organization American Atheists denounced the Small Business Administration SBA s recently released regulations and guidance on the Coronavirus Aid Relief and Economic Security CARES Act as an unconstitutional giveaway to houses of worship that is ripe for abuse These news rules give houses of worship access to 350 billion in federal money from the Paycheck Protection Program PPP to fund religious activities including paying clergy salaries rent and utilities Longstanding SBA regulations have prevented businesses principally engaged in teaching instructing counselling or indoctrinating religion or religious beliefs whether in a religious or secular setting from receiving business or economic disaster loans However with its news guidance SBA indicates that it will decline to enforce these subsections Direct government subsidy of religious activity is the clearest example of a violation of the Establishment Clause imaginable said Alison Gill Vice President for Legal and Policy at American Atheists SBA cannot simply change its rules to sidestep the clear limits of the Constitution This program was created by Congress to protect small businesses Instead SBA is giving churches easier access to funding than businesses or other nonprofits Gill added According to SBA s guidance unlike other nonprofits houses of worship need not apply for 501 c 3 status to be eligible for PPP funding In addition affiliation rules which can disqualify businesses and nonprofits from receiving PPP funding do not apply to houses of worship allowing individual churches affiliated with larger denominations to receive direct funding These religious exemptions turn the CARES Act into a taxpayer giveaway to churches and shields them from government oversight said Gill Unlike all other nonprofits houses of worship do not file tax returns preventing any federal oversight of their use of this money We have to be even more vigilant during a crisis like this to prevent our government from ignoring its obligations under the Constitution said Nick Fish president of American Atheists This bill contains provisions allowing the American people to support their houses of worship if they choose to do so with additional tax breaks on donations And just as the Founders intended that s to whom churches should turn when they need help Not the federal government It s unconscionable that with more than 10 million Americans out of work the SBA is subsidizing wealthy religious groups and mega churches with untold billions of taxpayer money added Fish American Atheists along with a coalition of seven other civil rights and religious equality advocates previously advised the SBA of its obligations under the Constitution in the administration of this program Photo by Jer123 via Shutterstock comThe post Government to Pay Pastor Salaries in 350 Billion Small Business Aid Package appeared first on American Atheists ,American Atheists,Public Policy,American Atheists Magazine,https://www.atheists.org/2020/04/churches-preference-small-business-aid-package/,0,18
